"Frequency (Hz)","Absolute Amplitude (a.u.)"
3.925781250E2,1.655751486E1
3.940429688E2,1.519482458E1
3.955078125E2,6.273929230E0
3.969726562E2,1.231555600E1
3.984375000E2,4.036094848E1
3.999023438E2,7.430009621E0
4.013671875E2,4.031620292E1
4.028320312E2,2.361138598E1
4.042968750E2,2.353274199E1
4.057617188E2,2.455998274E1
4.072265625E2,4.671345404E1
4.086914062E2,1.884676394E1
4.101562500E2,2.536389082E1
4.116210938E2,3.236437557E1
4.130859375E2,2.663431268E1
4.145507812E2,6.515526929E0
4.160156250E2,2.001664738E1
4.174804688E2,1.888966724E1
4.189453125E2,7.076404761E0
4.204101562E2,1.753167257E1
4.218750000E2,2.524114359E1
4.233398438E2,1.010243235E1
4.248046875E2,1.313988436E1
4.262695312E2,5.090879660E0
4.277343750E2,4.800393253E0
4.291992188E2,2.392360893E1
4.306640625E2,1.984004295E1
4.321289062E2,2.810199387E1
4.335937500E2,2.825288767E1
4.350585938E2,4.018299128E0
4.365234375E2,1.556754752E1
4.379882812E2,1.335565232E1
4.394531250E2,2.921482277E0
4.409179688E2,2.710050338E1
4.423828125E2,7.590682332E0
4.438476562E2,2.902847127E0
4.453125000E2,5.340440908E0
4.467773438E2,1.234856733E1
4.482421875E2,1.465684145E1
4.497070312E2,2.769478195E1
4.511718750E2,3.461926270E1
4.526367188E2,4.583569314E1
4.541015625E2,5.377153948E1
4.555664062E2,5.812345043E1
4.570312500E2,2.507738127E1
4.584960938E2,2.663175336E1
4.599609375E2,3.165424297E1
4.614257812E2,5.418964699E1
4.628906250E2,1.298301742E1
4.643554688E2,1.741145622E1
4.658203125E2,1.362225280E1
4.672851562E2,8.732594552E0
4.687500000E2,2.478985077E1
4.702148438E2,4.192168949E0
4.716796875E2,1.716492101E1
4.731445312E2,1.391265292E1
4.746093750E2,3.758815015E1
4.760742188E2,3.734826275E1
4.775390625E2,2.702734089E1
4.790039062E2,5.089392524E1
4.804687500E2,2.860863579E1
4.819335938E2,1.902102433E1
4.833984375E2,3.693994308E0
4.848632812E2,3.013821856E1
4.863281250E2,1.847648069E1
4.877929688E2,2.965267603E1
4.892578125E2,3.176564580E1
4.907226562E2,4.275232447E1
4.921875000E2,2.463375802E1
4.936523438E2,1.819985786E1
4.951171875E2,2.322554545E1
4.965820312E2,9.381456042E0
4.980468750E2,3.977095883E1
4.995117188E2,4.831248242E1
5.009765625E2,1.777443642E1
5.024414062E2,8.564771178E0
5.039062500E2,1.339651461E1
5.053710938E2,2.379176513E1
5.068359375E2,1.831354424E1
5.083007812E2,2.497151210E1
5.097656250E2,1.450307930E1
5.112304688E2,3.027895400E1
5.126953125E2,2.237502446E1
5.141601562E2,4.543160876E1
5.156250000E2,2.428998014E1
5.170898438E2,1.891685574E1
5.185546875E2,4.241338947E1
5.200195312E2,3.415848850E1
5.214843750E2,3.284856336E1
5.229492188E2,3.013442000E1
5.244140625E2,2.112019792E1
5.258789062E2,1.568046041E1
5.273437500E2,2.904028318E1
5.288085938E2,2.939366076E1
5.302734375E2,2.159421653E1
5.317382812E2,1.133101141E1
5.332031250E2,1.702210571E1
5.346679688E2,2.892151528E1
5.361328125E2,3.683139770E1
5.375976562E2,1.692801762E1
5.390625000E2,1.730412137E1
5.405273438E2,1.762556758E1
5.419921875E2,2.469628245E1
5.434570312E2,2.544833760E1
5.449218750E2,3.762273182E0
5.463867188E2,1.275783101E1
5.478515625E2,1.089511855E1
